object,ra,dec
HD24505,58.7493262978128996,28.1879750057121008
HD24238,58.7660105931426031,61.1668070013489000
HD24916,59.3695792428736979,-1.1594640241166001
HD25463,60.7479442187997023,9.2084816059409995
HD25665,62.3960004258180021,69.5413920077175050
40 Eri,63.8179984124769035,-7.6528696608383999
HD26913,63.8574464090361005,6.1996531699361004
HD26923,63.8700016944001021,6.1868607171279004
70 Tau,66.4055105175178966,15.9410232112273995
HD28034,66.5243308067112054,15.5243428955776999
HD28185,66.6096779512224941,-10.5508186580998000
HD28005,66.8529343233255986,46.8531538166131014
HD28344,67.2012433853119973,17.2854683272630005
HD28343,67.2505159459360016,21.9226992075104015
HD28406,67.3764611956623014,17.8631649973746995
HD28946,68.4599958124569952,5.3850299835937996
HD29004,68.6258199759807042,10.0164222367817004
HD28992,68.6471252887292991,15.5046230280157999
88 Tau B,68.8965567166868027,10.1704635235692997
HD232979,69.4205434010558946,52.8936147114007014
HD29697,70.3285633812647006,20.9015130353920000
HD29836,70.7154436736121994,18.7204353058207005
HD29883,70.8976491381997960,27.6874022913752000
HD30712,72.6409202081348013,15.0834385621572000
HD30809,72.8467289331095031,15.4334648401625998
HD31253,73.6818904508871952,12.3521943580203004
HD31307,73.6865567642881985,4.7735204707868997
HD31412,73.9828754022783954,4.6704310823297996
HD31500,74.5541472486774950,40.0568677397719028
HD32147,75.2041639384368068,-5.7536734242199001
HD31675,75.7101595960881042,66.8229727330302978
HD32662,76.2772753883776033,6.1301637694815003
HD32851,76.6794738254104971,14.0847818170812999
104 Tau,76.8625232015097026,18.6450499366846998
HD32963,76.9823503536115936,26.3279652648513007
HD33636,77.9435392064669941,4.4035394833605999
HD34445,79.4207514562642984,7.3533480892881000
15 Aur,79.7853143746339981,40.0990514113722014
HD34673A,79.8027522243655056,-3.0738162980375998
HD33564,80.6397108512852014,79.2311507281612961
HD35850,81.7698472016361961,-11.9009627811508008
HD36395,82.8641491050669003,-3.6772288901391001
HD37124,84.2603608997577993,20.7307869300324015
HD37008,84.5494204098772997,51.4457449115989007
HD38230,86.5078571913533949,37.2846496467307986
HD39881,89.0143044367790992,13.9249146871941001
HD40397,89.5897332604295968,-4.6506727643454999
HD40650,90.6880887429568929,47.8095295999946970
HD40979,91.1247630644425044,44.2604427620943000
HD42618,93.0023620247518039,6.7830716080093998
HD43947,94.9173905422256041,16.0132481909889002
HD45350,97.1904628234670014,38.9629629289505033
HD45652,97.3049666528030031,10.9338905294248008
HD46375,98.3025934962234942,5.4629245923217002
HD47157,99.3824826725408030,9.1442808619167995
HD47415,99.8811807081115006,24.6001634821240991
HD48684,101.5118342545011956,33.0296671248698033
psi05 Aur,101.6847372295682987,43.5774245466935000
HD49674,102.8771508630812974,40.8677566928609011
HD50281,103.0752106026702961,-5.1737126649698002
HD50639,103.4367780216331028,-9.5154647978840998
HD50554,103.6784422861345973,24.2455571370642993
37 Gem,103.8277764975233026,25.3756954298746003
HD51295,104.4430701949788016,22.8925515670655990
HD51419,104.5489590360046037,22.4758846893515987
HD51471,104.6159104723103042,24.9202590509389985
HD52265,105.0751487827531037,-5.3671613586318996
HD51866,105.4107849434324038,48.3786699579535977
HD52711,105.8769134615567964,29.3370814225827985
HD51708,105.9422123573930037,67.4569498527884974
HD53665,106.4698775283320060,-1.0204665878535999
HD54371,107.3974563051860969,25.7286476195866989
HD55575,108.9589132522845034,47.2399633773855001
HD58551,111.7094043405314068,21.5356543052223017
HD60491,113.6090317413935935,-6.8966768884430003
HD61606,114.9972025511005000,-3.5975076357146998
HD65430,119.8914152377230948,20.8439287138635017
mu. Cnc,121.9410677112423969,21.5818130113987010
HD67346,122.0360750142247070,19.2159416256017010
HD68017,122.9110564827769991,32.4571632000514967
HD68168,122.9549526270895967,16.5238620128392988
HD69611,124.3722840193144066,-3.9896176221431001
HD69830,124.5997790343363931,-12.6321714409805992
HD69809,124.8057875593667063,14.2006796706100005
18 Cnc,125.0160865030790944,27.2177050473828999
HD71848,127.4822075758749946,10.4707842453445998
HD71881,127.9793153544707991,50.6166914528142016
HD72659,128.5132909869911941,-1.5682172678824000
HD73226,129.5354459292379090,26.0489774298519983
HD73344,129.6896689038329100,23.6859044767532012
HD73667,129.9616325147692919,11.5226717077098009
HD74156,130.6046747965615111,4.5780960411141001
rho Cnc,133.1492129350178004,28.3308208317972010
HD75898,133.4616884934407892,33.0568112679963022
HD76151,133.5747795670403093,-5.4344595256324997
HD76780,134.7322117675741993,21.1662882555405005
HD79210,138.5948952636643980,52.6866087501495031
HD79211,138.6028451960604002,52.6863617977567031
HD79555,138.7235333022964028,4.4428230595446001
HD79498,138.7891751965393894,23.3755496263006002
HD80870,140.7935676203987043,32.9210075142057974
HD82943,143.7113971134612029,-12.1295470043678009
HD83509,144.8217662519444104,13.3125674830645995
HD83683,145.1468587633031859,13.0537836879235005
HD84035,145.8569181140400985,42.6915606019869998
15 LMi,147.1473806245803075,46.0210073914595981
20 LMi,150.2527369843307099,31.9236702818993017
HD87359,151.1116227056170089,-7.2184003948704003
HD87424,151.1569122300047070,-11.7296998592992008
HD87836,152.1243993108394932,33.5146008611650004
HD87883,152.1797524400626003,34.2422629573455026
HD88230,152.8422497884926941,49.4542363908576021
24 LMi,154.1170101865880042,28.6824829219053008
HD89269,154.7164490229372120,44.0483206159966016
HD90054,155.9310316454445058,2.6193422522451999
HD91347,158.4606499449064074,49.1861736317450990
HD91816,159.0092132446027051,-11.9133144143163001
HD92719,160.5555036760289909,-13.7877142342079999
47 UMa,164.8665531308384971,40.4302557146454973
Gaia EDR3 762815470562110464,165.8341450816425038,35.9698822727935976
HD97101,167.7715498153976910,30.4460175603137984
HD97658,168.6381719814712881,25.7103862104688012
HD98281,169.5917150588574032,-5.0673024802322004
83 Leo A,171.6888405415296859,3.0130990660290999
83 Leo B,171.6928263604636129,3.0063213121465999
HD99739,172.1042940876230034,2.7829665390706002
88 Leo,172.9372673302096928,14.3645029762197005
HD102195,176.4262202809204041,2.8214789273813001
5 Vir,177.6738271494232890,1.7647226497585999
HD103095,178.2448639135839983,37.7186816989540006
HD104304,180.1852506144799122,-10.4461297543832003
HD106116,183.1201772530442895,-3.0844749887102001
HD109011,187.8289068751392108,55.1189661919421994
bet CVn,188.4356010485614092,41.3574781535721030
HD110315,190.2770212232167921,15.3766662008578994
HD110463,190.4355096171969990,55.7246728489489982
10 CVn,191.2475206828196974,39.2789161469844998
HD114174,197.2125957184144909,5.2072405427673996
HD114762A,198.0822544525975104,17.5171195373102009
HD114783,198.1824398288295868,-2.2650362957860000
HD114842,198.3073040570002945,-2.5557311465435002
HD116442,200.9131402634129984,2.7233268491486999
HD116443,200.9201882239350994,2.7252743942405000
HD117140,202.0819042777318941,10.4685853887653000
HD119332,205.3058535992016971,56.7271726788509980
HD119825A,206.3369161050839864,9.0577309093195009
HD119850,206.4323981655095963,14.8915199187325999
tau Boo A,206.8155757166773867,17.4568915432223015
HD120476A,207.2666756259098122,26.9799317633092990
HD120476B,207.2668049922606031,26.9789455342820013
HD121320,208.6175087627912887,20.6417799759373999
HD122064,209.3835765120832946,61.4928611033472023
HD124106,212.9423870382769906,-12.6117670254876995
HD124642,213.4878254929504919,30.2171869121602015
HD125455,214.8952636240697132,-5.1511917009535999
HD126053,215.8136865588502928,1.2415670187103001
HD127334,217.4033698838138946,41.7959126217874015
HD128165,218.3702826930829985,52.9087910749268033
HD128311,219.0023344856492997,9.7465151592405004
HD129499,219.9154197557490136,66.3467522888473979
HD129814,221.0487212256850000,18.4621178085977000
HD130307,221.8170884824322968,2.7032253091757998
HD130322,221.8863592901060997,-0.2814743881266000
HD131473,223.3472833156386912,15.7051624489927004
HD132142,223.7960155919670910,53.6803463021744989
HD135101A,228.1811699119556067,19.2860395764584993
HD135101B,228.1824021936473912,19.2924377608300013
HD136274,229.7460413170267088,25.6917479385145988
HD136713,230.6528957735299912,-10.6611265735628997
HD136834,230.6772772194312893,1.4186257335662000
HD136925,230.7169498840343920,13.3664279892619007
HD137778,232.0508789505659877,-9.3578623622160002
HD139323,233.9856925237691030,39.8311186263404977
HD139341B,234.0092907702467926,39.8027272462825010
HD139341A,234.0093764869446886,39.8024202233427999
27 Ser,236.6108926421987064,7.3530687446169001
HD141399,236.7242215922705100,46.9862619951278973
39 Ser,238.3004049055699056,13.1966262335873008
HD142229,238.3333759280087918,4.2532502594375003
HD143291,239.6334467525277034,27.7399883550478989
15 CrB,240.2610853730992062,33.3035109657630031
HD144579,241.2366400821767911,39.1565096060434996
14 Her,242.6013153162529079,43.8176409463357999
