ra_j2000,dec_j2000,primary_name,gaiadr2_source_id,gaiaedr3_source_id,hip,hd,tic,2mass,wisea,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,gmag,bp_rp,radial_velocity,radial_velocity_error,ref_epoch,gaia_teff,gaia_teff_lower,gaia_teff_upper,gaia_radius,gaia_radius_lower,gaia_radius_upper,gaia_lum,gaia_lum_lower,gaia_lum_upper,spectrum_hires,spectrum_hires_resolution,spectrum_hires_nobs,spectrum_hires_snr,spectrum_harps,spectrum_harps_nobs,spectrum_harps_snr,spectrum_sophie,spectrum_sophie_nobs,spectrum_sophie_snr,spectrum_hermes,spectrum_hermes_snr,spectrum_hermes_nobs
240.9273533914093,35.5491185165497,HD144285,1372124197169569280,1372124197169569280,78679,144285,17330279,16034255+3532567,J160342.58+353257.0,240.92748726484,0.2532,35.54921068031,0.3111,11.7201,0.3568,24.507,0.316,20.737,0.422,7.961332,0.612138,-26.74,0.62,J2016.0,6273.2001953125,6166.89990234375,6463.68994140625,1.6326371431350708,1.537825107574463,1.6894065141677856,3.719038248062134,3.6431846618652344,3.794891834259033,,,,,,,,,,,,,
241.0151847828421,25.254790877639,HD144287,1219254942328596736,1219254942328596736,78709,144287,1200214538,16040370+2515169,J160403.29+251524.3,241.01274892602,0.0858,25.25785541421,0.1197,46.2311,0.1832,-495.683,0.122,689.516,0.18,6.903666,0.965679,-48.88,0.17,J2016.0,5284.93017578125,5234.724609375,5345.0,0.9787706732749939,0.9568944573402405,0.9976351857185364,0.6733077168464661,0.671093225479126,0.6755222082138062,,,,,,,,true,6,258.1,,,
236.1674926262572,84.5794956909846,HD144301,1724196792571978368,1724196792571978368,77109,144301,160144570,15444022+8434461,J154439.64+843447.3,236.16375512951,0.1159,84.58000434305,0.1245,14.0819,0.1221,-79.439,0.169,114.444,0.162,7.932235,0.672541,-7.92,0.98,J2016.0,6225.0,6165.0,6318.0,1.292490839958191,1.2547203302383423,1.3177711963653564,2.259993076324463,2.2295873165130615,2.2903988361358643,,,,,,,,,,,,,
240.4655010008652,59.6307241933612,HD144302,1626419903572693888,1626419903572693888,78524,144302,161825707,16015174+5937506,J160151.54+593751.2,240.46440731285,0.0151,59.63096123564,0.0171,13.3988,0.0172,-124.411,0.019,53.333,0.022,7.71199,0.783501,-39.14,0.14,J2016.0,5895.0,5866.0,5934.7001953125,1.7873989343643188,1.7635653018951416,1.8051154613494873,3.475945472717285,3.463697910308838,3.4881930351257324,,,,,,,,true,7,115.6,,,
241.5931880325563,-4.7541364545025,HD144492,4398519026227056000,4398519026227056000,78897,144492,168682010,16062235-0445151,J160622.40-044514.9,241.59347422903,0.1589,-4.75419278147,0.1284,13.3846,0.164,64.173,0.238,-12.674,0.157,7.82928,0.61187,-14.77,0.71,J2016.0,6289.1201171875,6223.9248046875,6447.107421875,1.44036865234375,1.3706406354904175,1.4707022905349731,2.9241628646850586,2.89325213432312,2.955073595046997,,,,,,,,,,,,,
241.2366400821768,39.1565096060435,HD144579,1379500756257031808,1379500756257031808,78775,144579,24089803,16045689+3909234,J160456.29+390923.9,241.23336805671,0.0113,39.15674357701,0.0126,69.6405,0.014,-570.872,0.016,52.633,0.017,6.461159,0.944855,-59.22,0.14,J2016.0,5379.0,5268.33349609375,5452.66650390625,0.7477135062217712,0.7276464700698853,0.7794563174247742,0.4216686487197876,0.42139071226119995,0.42194658517837524,true,102700.0,10,362.3,,,,true,1,97.1,,,
241.7640402488612,-14.0712975397969,HD144585,4341501106288171008,4341501106288171008,78955,144585,410994457,16070340-1404166,J160703.19-140416.5,241.76284165877,0.0251,-14.07125450941,0.0225,36.2249,0.027,-261.591,0.035,9.683,0.03,6.160456,0.802703,-13.96,0.13,J2016.0,5863.0,5823.75,5884.5,1.3568646907806396,1.3469676971435547,1.3752158880233765,1.9599605798721313,1.9565247297286987,1.963396430015564,,,,,true,160,414.3,true,2,146.6,,,
241.4685587263124,35.0060313884462,HD144705,1324009538274493440,1324009538274493440,78859,144705,17379576,16055246+3500222,J160552.41+350019.1,241.46823625677,0.0124,35.00490773447,0.0146,17.2202,0.0174,-59.43,0.016,-252.822,0.021,7.898347,0.744584,65.05,0.16,J2016.0,5935.0,5873.39990234375,6008.14990234375,1.2543824911117554,1.2240239381790161,1.280832290649414,1.758885383605957,1.7542943954467773,1.7634763717651367,,,,,,,,true,8,116.5,,,
242.06909361755,-13.7690535904495,HD144821,4341531102339795968,4341531102339795968,79059,144821,411076325,16081659-1346084,J160816.49-134609.4,242.06854234941,0.0749,-13.76944265451,0.062,13.8229,0.0893,-120.471,0.096,-87.539,0.081,7.371165,0.741622,6.19,5.6,J2016.0,6018.33349609375,5900.79931640625,6152.0,1.9238049983978271,1.84111487865448,2.001206398010254,4.374433517456055,4.336820602416992,4.412046432495117,,,,,,,,true,1,48.1,,,
35.1282897994798,-6.3789702552343,HD14516,2487084684870159488,2487084684870159488,10915,14516,408128761,02203078-0622442,J022030.77-062244.7,35.12821648318,0.0222,-6.37916864699,0.0193,16.0786,0.0246,-16.394,0.031,-44.638,0.023,7.789955,0.637195,-8.94,0.45,J2016.0,6327.0,6293.0,6363.66650390625,1.2364963293075562,1.2222883701324463,1.2498935461044312,2.207352638244629,2.1930060386657715,2.2216992378234863,,,,,,,,,,,,,
