Name	S2D SOPHIE	SNR co-added SOPHIE
HD76539	4	88.9
HD77599	6	112.6
HD78557	1	52.4
HD78366	1	43.2
HD78233	4	125.7
HD78413	3	107.7
HD78899	3	92.3
HD79210	174	164.8
HD79498	13	154.2
HD78437	5	105.7
HD79968	3	79.1
HD80355	5	86.5
HD80536	54	538.6
HD80509	4	121.1
HD80699	3	145.0
HD80715	2	114.3
HD80870	5	99.8
HD81040	19	339.6
HD81659	2	67.1
HD82106	18	247.1
HD81996	4	139.0
HD82267	10	153.4
HD82246	3	103.8
HD82443	16	294.8
HD83408	2	54.0
HD83525	4	140.2
HD83186	6	123.8
HD83683	2	116.7
HD84616	2	55.7
HD84749	1	47.7
HD84869	2	69.7
HD85087	5	138.1
HD85380	2	106.0
HD85238	3	135.8
HD85301	6	238.0
HD85689	6	116.2
HD85902	5	120.7
HD86133	25	203.8
HD86261	3	86.7
HD86165	6	102.2
HD86460	3	109.2
HD86794	2	68.8
HD86776	2	63.4
HD86661	7	103.1
HD86884	7	319.1
HD87424	2	67.1
HD87667	6	108.9
HD87680	46	253.5
HD87666	5	92.6
HD87836	1	48.2
HD88072	3	165.8
HD88446	7	123.7
HD88402	45	251.3
HD88725	2	204.6
HD88775	3	148.6
HD89055	2	79.5
HD88984	7	176.9
HD89110	18	163.5
HD89307	30	514.0
HD89269	298	873.3
HD89454	2	73.7
HD89389	1	152.5
HD89633	2	65.6
HD89652	2	63.7
HD89813	2	69.7
HD90054	5	105.3
HD90164	4	81.7
HD89881	4	94.4
HD90681	6	112.5
HD90905	11	356.3
HD91148	9	126.8
HD91163	65	311.4
HD91204	1	26.5
HD91347	61	566.3
HD91638	2	134.6
HD92547	1	60.9
HD92719	2	71.6
HD92786	51	399.9
HD93081	4	95.5
HD93153	2	49.4
HD93216	1	47.6
HD93215	5	115.3
HD93213	5	121.3
HD93330	3	83.5
HD93489	2	65.9
HD93664	12	137.5
HD94012	3	74.5
HD93915	5	97.8
HD94268	1	88.7
HD94426	5	135.6
HD93212	14	163.7
HD94765	33	321.4
HD94835	8	124.2
HD94880	2	85.8
47 UMa	1	115.3
HD96574	2	84.3
HD96679	3	76.6
HD96937	39	304.2
HD97037	1	1.4
HD97089	1	45.5
HD97004	2	73.3
HD97101	9	137.2
HD97194	40	273.8
HD97334	2	179.9
HD97645	3	85.1
